 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses
Período:2001-2007
"Unidade da Federação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"11 Rondônia";13;18;11;17;6;3;8;76
"12 Acre";9;11;8;9;10;4;13;64
"13 Amazonas";31;31;31;39;60;40;27;259
"14 Roraima";4;5;4;4;1;4;-;22
"15 Pará";70;42;54;53;35;33;27;314
"16 Amapá";9;7;1;2;4;5;4;32
"17 Tocantins";3;3;4;6;6;11;5;38
"21 Maranhão";21;18;20;24;19;12;24;138
"22 Piauí";12;13;15;18;23;19;14;114
"23 Ceará";40;47;47;57;50;63;59;363
"24 Rio Grande do Norte";27;34;22;20;26;28;44;201
"25 Paraíba";24;29;39;33;32;33;29;219
"26 Pernambuco";204;229;179;222;271;181;222;1508
"27 Alagoas";16;32;49;26;44;31;37;235
"28 Sergipe";1;2;4;-;1;6;1;15
"29 Bahia";71;88;100;124;159;132;131;805
"31 Minas Gerais";72;92;104;111;110;99;94;682
"32 Espírito Santo";10;8;19;13;7;14;15;86
"33 Rio de Janeiro";271;227;256;211;207;218;228;1618
"35 São Paulo";395;342;316;295;241;209;163;1961
"41 Paraná";42;75;75;100;68;59;39;458
"42 Santa Catarina";10;27;16;9;13;25;7;107
"43 Rio Grande do Sul";71;134;150;130;96;92;93;766
"50 Mato Grosso do Sul";2;10;11;12;14;14;15;78
"51 Mato Grosso";13;18;11;5;15;9;6;77
"52 Goiás";20;11;44;23;35;33;20;186
"53 Distrito Federal";18;9;15;10;8;6;-;66
"Total";1479;1562;1605;1573;1561;1383;1325;10488
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
