 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";6;7;7;12;10;11;6;2;8;6;7;11;3;7;103
"12 Acre";4;5;5;6;5;4;4;5;8;4;11;5;13;-;79
"13 Amazonas";16;13;38;33;21;21;17;15;20;21;18;24;19;5;281
"14 Roraima";1;3;2;4;2;3;3;2;4;5;4;9;5;2;49
"15 Pará";38;29;24;38;28;26;41;37;40;31;33;60;40;18;483
"16 Amapá";5;1;3;6;10;12;5;6;5;1;4;5;-;1;64
"17 Tocantins";5;7;6;7;2;6;5;2;4;2;6;3;7;1;63
"21 Maranhão";22;23;15;18;11;16;8;21;16;13;14;31;21;6;235
"22 Piauí";14;4;16;10;11;5;6;8;12;12;13;15;13;5;144
"23 Ceará";49;55;68;37;63;56;44;43;42;45;46;37;34;8;627
"24 Rio Grande do Norte";27;32;32;31;45;28;28;41;24;17;41;33;26;6;411
"25 Paraíba";23;17;41;44;40;33;43;42;29;28;32;55;39;12;478
"26 Pernambuco";238;155;110;143;185;99;76;98;100;102;117;105;92;31;1651
"27 Alagoas";18;29;36;24;29;26;28;33;22;25;25;40;32;10;377
"28 Sergipe";2;1;-;6;2;2;10;6;12;12;15;15;10;-;93
"29 Bahia";104;115;100;113;83;61;88;93;79;109;85;83;74;24;1211
"31 Minas Gerais";82;82;59;76;56;63;60;77;77;85;76;76;88;42;999
"32 Espírito Santo";9;18;14;18;22;23;15;17;17;14;13;18;13;9;220
"33 Rio de Janeiro";153;157;171;201;199;162;136;179;159;158;180;182;248;82;2367
"35 São Paulo";158;119;92;152;201;174;176;205;235;277;269;275;292;103;2728
"41 Paraná";85;48;35;24;33;42;37;43;33;21;30;31;36;18;516
"42 Santa Catarina";16;22;22;23;22;20;35;33;41;38;39;47;47;21;426
"43 Rio Grande do Sul";98;80;91;81;77;65;62;53;69;82;70;96;100;35;1059
"50 Mato Grosso do Sul";16;15;19;15;9;20;21;31;30;25;12;20;17;21;271
"51 Mato Grosso";7;6;13;11;8;17;20;12;6;10;8;13;16;5;152
"52 Goiás";28;36;41;30;26;27;7;13;26;19;22;30;23;9;337
"53 Distrito Federal";8;4;3;4;10;8;5;6;4;6;2;5;6;3;74
"Total";1232;1083;1063;1167;1210;1030;986;1123;1122;1168;1192;1324;1314;484;15498
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
