 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Região/Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"Região Norte";4;8;4;5;6;5;7;8;8;3;6;11;8;6;9;3;4;5;7;1;10;5;2;5;6;7;4;8;6;9;7;3;13;6;6;10;9;10;13;10;14;12;5;7;9;7;6;4;4;8;8;14;8;6;4;4;9;6;3;4;4;12;5;8;6;8;9;6;11;4;5;5;11;8;10;7;4;3;7;6;8;6;3;8;7;8;9;3;4;6;5;6;6;5;5;5;5;6;6;5;13;10;6;8;8;5;10;7;7;5;7;7;3;5;8;7;6;2;7;6;3;6;5;8;9;7;10;9;8;5;7;6;2;7;15;14;11;15;8;12;6;9;15;3;6;9;11;6;8;5;7;6;6;4;7;12;9;7;7;11;1122
".. Rondônia";-;-;-;-;-;-;1;1;1;-;1;2;-;-;-;-;-;2;3;-;-;1;-;1;1;-;-;-;-;1;-;1;1;-;-;3;1;1;1;2;-;3;-;-;2;-;2;-;1;2;2;1;1;-;-;-;-;-;2;1;1;2;-;2;1;2;1;-;1;1;-;-;1;2;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;3;1;-;1;1;2;-;2;-;-;-;-;-;-;1;-;-;-;-;2;1;1;2;-;1;-;-;-;-;-;3;1;-;1;2;1;-;-;3;-;-;-;-;-;-;-;-;1;-;-;1;1;3;1;1;2;103
".. Acre";-;-;1;-;-;-;-;1;1;-;-;1;2;-;2;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;1;-;1;1;1;-;-;1;-;-;-;2;-;-;-;-;-;1;-;1;-;1;-;2;-;-;-;2;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;1;-;-;2;1;-;-;1;1;2;3;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;1;-;-;-;1;1;-;2;2;-;2;-;2;1;-;-;1;-;-;-;1;2;-;-;-;1;1;-;2;4;1;-;2;-;-;-;-;3;-;-;-;-;79
".. Amazonas";1;2;2;1;1;1;1;1;-;1;2;3;2;2;-;-;1;1;1;1;4;-;-;1;1;4;-;2;6;3;2;1;5;4;3;7;3;2;3;4;6;2;-;6;2;1;3;1;1;1;2;7;1;3;1;1;2;1;-;1;2;3;-;1;2;1;3;2;3;1;3;-;-;1;4;1;-;2;2;1;3;1;1;1;2;2;-;2;2;3;-;-;2;-;1;1;3;-;1;1;4;-;1;4;2;1;3;-;1;-;1;3;1;1;3;3;1;-;4;3;1;1;3;1;6;2;-;4;-;-;-;-;-;3;7;7;2;-;1;3;1;-;-;-;3;4;2;1;-;1;1;2;2;-;1;2;1;-;2;2;281
".. Roraima";-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;2;-;1;1;-;1;-;1;-;-;-;-;1;-;-;-;1;1;-;-;-;1;1;2;-;1;1;2;1;-;2;-;-;-;1;-;-;1;-;1;-;-;-;1;-;1;49
".. Pará";3;5;1;3;3;4;4;4;6;1;2;2;3;4;3;1;2;1;2;-;5;3;2;3;3;1;2;4;-;3;2;1;6;1;1;-;2;5;7;2;6;5;2;-;4;2;1;2;1;4;1;2;6;2;1;2;6;1;1;1;1;4;2;3;1;3;2;3;2;1;-;4;6;5;2;5;4;1;4;2;5;2;1;4;5;3;6;1;2;2;3;4;3;4;2;2;1;4;2;2;5;5;3;2;3;3;7;3;5;2;4;2;2;4;1;4;4;-;1;2;2;2;1;2;2;-;5;4;5;3;3;4;2;3;3;3;7;10;4;5;4;7;10;2;-;5;5;1;6;3;4;1;4;2;3;6;5;3;4;6;483
".. Amapá";-;-;-;-;1;-;-;-;-;-;1;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;1;1;1;1;-;1;-;-;-;-;1;3;2;-;-;2;-;1;-;-;1;-;1;1;2;1;2;2;-;1;1;1;-;2;-;-;1;-;-;1;1;-;-;-;-;-;-;2;-;-;-;1;-;1;1;-;1;1;1;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;1;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;64
".. Tocantins";-;1;-;1;-;-;1;1;-;1;-;-;-;-;2;1;1;-;1;-;1;1;-;-;-;2;-;-;-;1;2;-;1;-;-;-;1;-;-;1;-;-;2;1;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;2;-;1;1;1;-;1;-;-;-;-;-;-;2;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;1;-;2;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;1;2;-;-;1;-;-;63
"Região Nordeste";11;32;28;93;32;64;52;38;37;36;38;36;35;30;58;44;31;26;31;42;37;44;35;18;43;29;38;36;26;31;43;37;29;36;39;31;35;29;37;32;34;39;39;37;32;28;46;38;46;53;44;44;29;44;28;36;31;44;36;34;39;29;30;23;21;38;20;32;28;22;21;23;24;24;30;31;37;30;27;23;27;22;25;31;33;32;38;33;38;27;40;23;23;26;35;37;32;28;24;29;34;32;32;28;25;25;26;21;34;29;30;34;29;23;30;29;37;23;35;30;30;32;41;34;25;29;29;41;34;25;33;35;33;30;29;40;27;49;44;27;34;28;29;44;40;23;34;16;40;23;24;33;18;35;23;32;24;24;24;30;5227
".. Maranhão";-;-;1;2;2;3;3;2;3;3;-;3;4;2;1;1;2;3;-;2;3;2;1;2;2;-;-;3;-;1;2;-;1;4;2;-;-;1;3;-;-;3;1;2;3;2;2;1;-;2;2;-;-;1;1;-;3;1;1;-;6;-;2;1;1;2;1;-;2;-;-;1;1;1;-;1;-;2;-;1;1;1;-;-;-;1;2;1;4;1;2;1;1;3;1;4;2;1;1;2;1;2;1;4;-;-;1;1;-;4;1;-;1;-;2;-;3;-;1;1;-;-;2;1;3;1;1;1;2;1;-;2;2;4;4;2;2;2;4;2;2;2;-;5;1;1;2;1;3;3;-;2;4;2;1;1;4;1;1;-;235
